训练次数：10, Loss: 0.11542157083749771
训练次数：800, Loss: 0.047390371561050415
训练次数：810, Loss: 0.05695880204439163
训练次数：820, Loss: 0.04260044917464256
训练次数：830, Loss: 0.2675524055957794
训练次数：840, Loss: 0.14526119828224182
训练次数：850, Loss: 0.061899583786726
训练次数：860, Loss: 0.05538814142346382
训练次数：870, Loss: 0.07953094691038132
训练次数：880, Loss: 0.039185330271720886
训练次数：890, Loss: 0.12133234739303589
训练次数：900, Loss: 0.07209471613168716
训练次数：910, Loss: 0.06928963214159012
训练次数：920, Loss: 0.08299589902162552
训练次数：930, Loss: 0.15124931931495667
训练次数：940, Loss: 0.08465614169836044
训练次数：950, Loss: 0.062364161014556885
训练次数：960, Loss: 0.08120142668485641
训练次数：970, Loss: 0.07293578237295151
训练次数：980, Loss: 0.05321240797638893
训练次数：990, Loss: 0.2299754023551941
训练次数：1000, Loss: 0.05481478571891785
训练次数：1010, Loss: 0.05747372284531593
训练次数：1020, Loss: 0.06632271409034729
训练次数：1030, Loss: 0.05534494295716286
训练次数：1040, Loss: 0.06470470875501633
训练次数：1050, Loss: 0.048690926283597946
训练次数：1060, Loss: 0.1002836748957634
训练次数：1070, Loss: 0.13741661608219147
训练次数：1080, Loss: 0.053801871836185455
训练次数：1090, Loss: 0.12072940915822983
训练次数：1100, Loss: 0.0651053935289383
训练次数：1110, Loss: 0.06186804547905922
训练次数：1120, Loss: 0.03912598267197609
训练次数：1130, Loss: 0.05487219616770744
训练次数：1140, Loss: 0.03338156268000603
训练次数：1150, Loss: 0.060175031423568726
训练次数：1160, Loss: 0.1894725114107132
训练次数：1170, Loss: 0.0326840803027153
训练次数：1180, Loss: 0.09784450381994247
训练次数：1190, Loss: 0.08707232773303986
训练次数：1200, Loss: 0.08031734079122543
训练次数：1210, Loss: 0.053030192852020264
训练次数：1220, Loss: 0.06451597809791565
训练次数：1230, Loss: 0.20954449474811554
训练次数：1240, Loss: 0.0558314211666584
训练次数：1250, Loss: 0.03629331663250923
训练次数：1260, Loss: 0.07804231345653534
训练次数：1270, Loss: 0.18933391571044922
训练次数：1280, Loss: 0.046789273619651794
训练次数：1290, Loss: 0.17195557057857513
训练次数：1300, Loss: 0.13089688122272491
训练次数：1310, Loss: 0.05468517914414406
训练次数：1320, Loss: 0.0879964604973793
训练次数：1330, Loss: 0.16341933608055115
训练次数：1340, Loss: 0.05777466669678688
训练次数：1350, Loss: 0.17970047891139984
训练次数：1360, Loss: 0.05855732411146164
训练次数：1370, Loss: 0.07267925143241882
训练次数：1380, Loss: 0.05551160126924515
训练次数：1390, Loss: 0.04554480314254761
训练次数：1400, Loss: 0.055981382727622986
训练次数：1410, Loss: 0.11172027885913849
训练次数：1420, Loss: 0.16260801255702972
训练次数：1430, Loss: 0.04388757795095444
训练次数：1440, Loss: 0.05119732394814491
训练次数：1450, Loss: 0.07083022594451904
训练次数：1460, Loss: 0.04597344622015953
训练次数：1470, Loss: 0.05515191704034805
训练次数：1480, Loss: 0.03482615575194359
训练次数：1490, Loss: 0.12233979254961014
训练次数：1500, Loss: 0.04515960440039635
训练次数：1510, Loss: 0.041057564318180084
训练次数：1520, Loss: 0.05758250504732132
训练次数：1530, Loss: 0.04927979037165642
训练次数：1540, Loss: 0.05854157730937004
训练次数：1550, Loss: 0.08671019226312637
训练次数：1560, Loss: 0.09488531202077866
训练次数：1570, Loss: 0.1142975389957428
训练次数：1580, Loss: 0.061859555542469025
训练次数：1590, Loss: 0.05990493670105934
训练次数：1600, Loss: 0.058861441910266876
训练次数：1610, Loss: 0.05886150896549225
训练次数：1620, Loss: 0.042872354388237
训练次数：1630, Loss: 0.042357221245765686
训练次数：1640, Loss: 0.040184006094932556
训练次数：1650, Loss: 0.052346859127283096
训练次数：1660, Loss: 0.039382290095090866
训练次数：1670, Loss: 0.06767598539590836
训练次数：1680, Loss: 0.0848793014883995
训练次数：1690, Loss: 0.03996402770280838
训练次数：1700, Loss: 0.04783209040760994
训练次数：1710, Loss: 0.04753129556775093
训练次数：1720, Loss: 0.05544005334377289
训练次数：1730, Loss: 0.05467359349131584
训练次数：1740, Loss: 0.04956626892089844
训练次数：1750, Loss: 0.10846726596355438
训练次数：1760, Loss: 0.20439845323562622
训练次数：1770, Loss: 0.06626918911933899
训练次数：1780, Loss: 0.04956015199422836
训练次数：1790, Loss: 0.07297977060079575
训练次数：1800, Loss: 0.04279225692152977
训练次数：1810, Loss: 0.09276407957077026
训练次数：1820, Loss: 0.06680812686681747
训练次数：1830, Loss: 0.07236779481172562
训练次数：1840, Loss: 0.04904787614941597
训练次数：1850, Loss: 0.06747889518737793
训练次数：1860, Loss: 0.03999698534607887
训练次数：1870, Loss: 0.03813836723566055
训练次数：1880, Loss: 0.10307160764932632
训练次数：1890, Loss: 0.05473053455352783
训练次数：1900, Loss: 0.09648505598306656
训练次数：1910, Loss: 0.0580170601606369
训练次数：1920, Loss: 0.03803517296910286
训练次数：1930, Loss: 0.03889937698841095
训练次数：1940, Loss: 0.03822937235236168
训练次数：1950, Loss: 0.08245602995157242
训练次数：1960, Loss: 0.13030768930912018
训练次数：1970, Loss: 0.17302989959716797
训练次数：1980, Loss: 0.04069800674915314
训练次数：1990, Loss: 0.07724742591381073
训练次数：2000, Loss: 0.07892004400491714
训练次数：2010, Loss: 0.18721280992031097
训练次数：2020, Loss: 0.07225020974874496
训练次数：2030, Loss: 0.05994095280766487
训练次数：2040, Loss: 0.04427686333656311
训练次数：2050, Loss: 0.06768375635147095
训练次数：2060, Loss: 0.0394258014857769
训练次数：2070, Loss: 0.075848788022995
训练次数：2080, Loss: 0.07936595380306244
训练次数：2090, Loss: 0.10712490230798721
训练次数：2100, Loss: 0.06722830981016159
训练次数：2110, Loss: 0.046265214681625366
训练次数：2120, Loss: 0.06671817600727081
训练次数：2130, Loss: 0.15260790288448334
训练次数：2140, Loss: 0.043594058603048325
训练次数：2150, Loss: 0.04230774939060211
训练次数：2160, Loss: 0.04631112143397331
训练次数：2170, Loss: 0.06602440029382706
训练次数：2180, Loss: 0.10276045650243759
训练次数：2190, Loss: 0.057685621082782745
训练次数：2200, Loss: 0.05378533899784088
训练次数：2210, Loss: 0.043397363275289536
训练次数：2220, Loss: 0.04138462245464325
训练次数：2230, Loss: 0.045499037951231
训练次数：2240, Loss: 0.15370498597621918
训练次数：2250, Loss: 0.030532535165548325
训练次数：2260, Loss: 0.0608217716217041
训练次数：2270, Loss: 0.047167569398880005
训练次数：2280, Loss: 0.06610850989818573
训练次数：2290, Loss: 0.046914469450712204
训练次数：2300, Loss: 0.2316235601902008
训练次数：2310, Loss: 0.06585697829723358
训练次数：2320, Loss: 0.030905073508620262
训练次数：2330, Loss: 0.05847213417291641
训练次数：2340, Loss: 0.12501052021980286
训练次数：2350, Loss: 0.03614281490445137
训练次数：2360, Loss: 0.02826107293367386
训练次数：2370, Loss: 0.10079070925712585
训练次数：2380, Loss: 0.09550806879997253
训练次数：2390, Loss: 0.04677076265215874
训练次数：2400, Loss: 0.1028546467423439
训练次数：2410, Loss: 0.03571288287639618
训练次数：2420, Loss: 0.06850987672805786
训练次数：2430, Loss: 0.06017616391181946
训练次数：2440, Loss: 0.06845910102128983
训练次数：2450, Loss: 0.05458995699882507
训练次数：2460, Loss: 0.07591531425714493
训练次数：2470, Loss: 0.06926996260881424
训练次数：2480, Loss: 0.046778902411460876
训练次数：2490, Loss: 0.05512980371713638
训练次数：2500, Loss: 0.03861511871218681
训练次数：2510, Loss: 0.03015846759080887
训练次数：2520, Loss: 0.08547001332044601
训练次数：2530, Loss: 0.05373227968811989
训练次数：2540, Loss: 0.1283765733242035
训练次数：2550, Loss: 0.07129062712192535
训练次数：2560, Loss: 0.05586032569408417
训练次数：2570, Loss: 0.08186857402324677
训练次数：2580, Loss: 0.05782073363661766
训练次数：2590, Loss: 0.09586507081985474
训练次数：2600, Loss: 0.06286950409412384
训练次数：2610, Loss: 0.06551393866539001
训练次数：2620, Loss: 0.075803741812706
训练次数：2630, Loss: 0.068387970328331
训练次数：2640, Loss: 0.05415662005543709
训练次数：2650, Loss: 0.04989127814769745
训练次数：2660, Loss: 0.14510978758335114
训练次数：2670, Loss: 0.03958185017108917
训练次数：2680, Loss: 0.0496804378926754
训练次数：2690, Loss: 0.03805304691195488
训练次数：2700, Loss: 0.07525095343589783
训练次数：2710, Loss: 0.08565069735050201
训练次数：2720, Loss: 0.039998315274715424
训练次数：2730, Loss: 0.037675291299819946
训练次数：2740, Loss: 0.036654211580753326
训练次数：2750, Loss: 0.1359230875968933
训练次数：2760, Loss: 0.1008237823843956
训练次数：2770, Loss: 0.04669908434152603
训练次数：2780, Loss: 0.034935880452394485
训练次数：2790, Loss: 0.04550369828939438
训练次数：2800, Loss: 0.192254438996315
训练次数：2810, Loss: 0.059770677238702774
训练次数：2820, Loss: 0.036996643990278244
训练次数：2830, Loss: 0.04658040776848793
训练次数：2840, Loss: 0.11252658814191818
训练次数：2850, Loss: 0.18068784475326538
训练次数：2860, Loss: 0.09870874881744385
训练次数：2870, Loss: 0.11662504822015762
训练次数：2880, Loss: 0.04840964078903198
训练次数：2890, Loss: 0.07407431304454803
训练次数：2900, Loss: 0.06314503401517868
训练次数：2910, Loss: 0.061689771711826324
训练次数：2920, Loss: 0.05355193093419075
训练次数：2930, Loss: 0.04517087712883949
训练次数：2940, Loss: 0.06601859629154205
训练次数：2950, Loss: 0.10566841065883636
训练次数：2960, Loss: 0.04310275614261627
训练次数：2970, Loss: 0.039805516600608826
训练次数：2980, Loss: 0.09093490988016129
训练次数：2990, Loss: 0.04587286710739136
训练次数：3000, Loss: 0.03307439386844635
训练次数：3010, Loss: 0.03578319773077965
训练次数：3020, Loss: 0.05855492502450943
训练次数：3030, Loss: 0.0561319924890995
训练次数：3040, Loss: 0.13035525381565094
训练次数：3050, Loss: 0.030411073938012123
训练次数：3060, Loss: 0.03730242699384689
训练次数：3070, Loss: 0.2352728396654129
训练次数：3080, Loss: 0.05531400069594383
训练次数：3090, Loss: 0.08651681989431381
训练次数：3100, Loss: 0.11392801254987717
训练次数：3110, Loss: 0.04692978039383888
训练次数：3120, Loss: 0.03426354378461838
训练次数：3130, Loss: 0.0313514769077301
训练次数：3140, Loss: 0.043668150901794434
训练次数：3150, Loss: 0.18610981106758118
训练次数：3160, Loss: 0.040341414511203766
训练次数：3170, Loss: 0.21933095157146454
训练次数：3180, Loss: 0.06357409805059433
训练次数：3190, Loss: 0.06518959999084473
训练次数：3200, Loss: 0.08102332055568695
训练次数：3210, Loss: 0.09478866308927536
训练次数：3220, Loss: 0.03836152330040932
训练次数：3230, Loss: 0.041379477828741074
训练次数：3240, Loss: 0.052179690450429916
训练次数：3250, Loss: 0.18135814368724823
训练次数：3260, Loss: 0.03754369914531708
训练次数：3270, Loss: 0.20228517055511475
训练次数：3280, Loss: 0.06616678088903427
训练次数：3290, Loss: 0.06640376150608063
训练次数：3300, Loss: 0.07171104848384857
训练次数：3310, Loss: 0.059039678424596786
训练次数：3320, Loss: 0.043052710592746735
训练次数：3330, Loss: 0.07977118343114853
训练次数：3340, Loss: 0.09218998998403549
训练次数：3350, Loss: 0.2408471554517746
训练次数：3360, Loss: 0.04315546527504921
训练次数：3370, Loss: 0.0408003032207489
训练次数：3380, Loss: 0.12838411331176758
训练次数：3390, Loss: 0.05624072253704071
训练次数：3400, Loss: 0.046416498720645905
训练次数：3410, Loss: 0.10874525457620621
训练次数：3420, Loss: 0.05372859537601471
训练次数：3430, Loss: 0.05039215460419655
训练次数：3440, Loss: 0.18539245426654816
训练次数：3450, Loss: 0.06815513968467712
训练次数：3460, Loss: 0.0738757997751236
训练次数：3470, Loss: 0.025051573291420937
训练次数：3480, Loss: 0.07144801318645477
训练次数：3490, Loss: 0.05457624793052673
训练次数：3500, Loss: 0.03827207162976265
训练次数：3510, Loss: 0.11929290741682053
训练次数：3520, Loss: 0.07099168002605438
训练次数：3530, Loss: 0.05255434662103653
训练次数：3540, Loss: 0.17763249576091766
训练次数：3550, Loss: 0.037248458713293076
训练次数：3560, Loss: 0.043665625154972076
训练次数：3570, Loss: 0.05129553750157356
训练次数：3580, Loss: 0.04909525811672211
训练次数：3590, Loss: 0.06839504837989807
训练次数：3600, Loss: 0.05956696718931198
训练次数：3610, Loss: 0.07729814201593399
训练次数：3620, Loss: 0.059879377484321594
训练次数：3630, Loss: 0.05193215608596802
训练次数：3640, Loss: 0.05935010313987732
训练次数：3650, Loss: 0.1518556922674179
训练次数：3660, Loss: 0.04196195676922798
训练次数：3670, Loss: 0.17223216593265533
训练次数：3680, Loss: 0.04910121485590935
训练次数：3690, Loss: 0.06019033491611481
训练次数：3700, Loss: 0.054677337408065796
训练次数：3710, Loss: 0.059596821665763855
训练次数：3720, Loss: 0.026609165593981743
训练次数：3730, Loss: 0.0488584078848362
训练次数：3740, Loss: 0.0383785218000412
训练次数：3750, Loss: 0.06459663808345795
训练次数：3760, Loss: 0.31431013345718384
训练次数：3770, Loss: 0.05052920803427696
训练次数：3780, Loss: 0.045554980635643005
训练次数：3790, Loss: 0.047666773200035095
训练次数：3800, Loss: 0.1430828720331192
训练次数：3810, Loss: 0.08764863014221191
训练次数：3820, Loss: 0.1580265760421753
训练次数：3830, Loss: 0.06183803826570511
训练次数：3840, Loss: 0.08059228956699371
训练次数：3850, Loss: 0.059030868113040924
训练次数：3860, Loss: 0.06769170612096786
训练次数：3870, Loss: 0.026618968695402145
训练次数：3880, Loss: 0.10574358701705933
训练次数：3890, Loss: 0.055558498948812485
训练次数：3900, Loss: 0.049177370965480804
训练次数：3910, Loss: 0.08658310770988464
训练次数：3920, Loss: 0.030600829049944878
训练次数：3930, Loss: 0.05879572406411171
训练次数：3940, Loss: 0.22102481126785278
训练次数：3950, Loss: 0.06960199028253555
训练次数：3960, Loss: 0.08426405489444733
训练次数：3970, Loss: 0.046592991799116135
训练次数：3980, Loss: 0.054376278072595596
训练次数：3990, Loss: 0.039127007126808167
训练次数：4000, Loss: 0.06594236940145493
训练次数：4010, Loss: 0.05943504720926285
训练次数：4020, Loss: 0.17171341180801392
训练次数：4030, Loss: 0.04625625163316727
训练次数：4040, Loss: 0.06804755330085754
训练次数：4050, Loss: 0.03150550276041031
训练次数：4060, Loss: 0.049480970948934555
训练次数：4070, Loss: 0.095862977206707
训练次数：4080, Loss: 0.04740595072507858
训练次数：4090, Loss: 0.0524042472243309
训练次数：4100, Loss: 0.04028922691941261
训练次数：4110, Loss: 0.14916275441646576
训练次数：4120, Loss: 0.034657787531614304
训练次数：4130, Loss: 0.05250464752316475
训练次数：4140, Loss: 0.10472813993692398
训练次数：4150, Loss: 0.04472467675805092
训练次数：4160, Loss: 0.052327945828437805
训练次数：4170, Loss: 0.125184565782547
训练次数：4180, Loss: 0.032125551253557205
训练次数：4190, Loss: 0.050331905484199524
训练次数：4200, Loss: 0.03650033846497536
训练次数：4210, Loss: 0.10405182838439941
训练次数：4220, Loss: 0.04108184576034546
训练次数：4230, Loss: 0.11468149721622467
训练次数：4240, Loss: 0.0533098429441452
训练次数：4250, Loss: 0.0588655099272728
训练次数：4260, Loss: 0.06484201550483704
训练次数：4270, Loss: 0.07748305052518845
训练次数：4280, Loss: 0.06174203380942345
训练次数：4290, Loss: 0.041274700313806534
训练次数：4300, Loss: 0.051381126046180725
训练次数：4310, Loss: 0.09867510944604874
训练次数：4320, Loss: 0.029698722064495087
训练次数：4330, Loss: 0.08812001347541809
训练次数：4340, Loss: 0.04473520442843437
训练次数：4350, Loss: 0.058816611766815186
训练次数：4360, Loss: 0.039219487458467484
训练次数：4370, Loss: 0.04836123436689377
训练次数：4380, Loss: 0.04595322534441948
训练次数：4390, Loss: 0.07075712829828262
训练次数：4400, Loss: 0.03654596954584122
训练次数：4410, Loss: 0.05815485864877701
训练次数：4420, Loss: 0.05623806640505791
训练次数：4430, Loss: 0.18267294764518738
训练次数：4440, Loss: 0.03064247965812683
训练次数：4450, Loss: 0.03262967988848686
训练次数：4460, Loss: 0.136870339512825
训练次数：4470, Loss: 0.06438757479190826
训练次数：4480, Loss: 0.1423003077507019
训练次数：4490, Loss: 0.09176819771528244
训练次数：4500, Loss: 0.0649685189127922
训练次数：4510, Loss: 0.044411368668079376
训练次数：4520, Loss: 0.09434380382299423
训练次数：4530, Loss: 0.06591162085533142
训练次数：4540, Loss: 0.07288984209299088
训练次数：4550, Loss: 0.05439990758895874
训练次数：4560, Loss: 0.03636324778199196
训练次数：4570, Loss: 0.15988574922084808
训练次数：4580, Loss: 0.04638705775141716
训练次数：4590, Loss: 0.04416917264461517
训练次数：4600, Loss: 0.05016942322254181
训练次数：4610, Loss: 0.09965461492538452
训练次数：4620, Loss: 0.04299898445606232
训练次数：4630, Loss: 0.03976452723145485
训练次数：4640, Loss: 0.17785212397575378
训练次数：4650, Loss: 0.059504538774490356
训练次数：4660, Loss: 0.05491694435477257
训练次数：4670, Loss: 0.05240301415324211
训练次数：4680, Loss: 0.08429071307182312
训练次数：4690, Loss: 0.07902760058641434
训练次数：4700, Loss: 0.02462191879749298
训练次数：4710, Loss: 0.2527403235435486
训练次数：4720, Loss: 0.18124952912330627
训练次数：4730, Loss: 0.12102440744638443
训练次数：4740, Loss: 0.02680831216275692
训练次数：4750, Loss: 0.07675106823444366
训练次数：4760, Loss: 0.04981377348303795
训练次数：4770, Loss: 0.10398731380701065
训练次数：4780, Loss: 0.0507475771009922
训练次数：4790, Loss: 0.042473480105400085
训练次数：4800, Loss: 0.030312886461615562
训练次数：4810, Loss: 0.038574256002902985
训练次数：4820, Loss: 0.02584928460419178
训练次数：4830, Loss: 0.115216925740242
训练次数：4840, Loss: 0.038968414068222046
训练次数：4850, Loss: 0.062001295387744904
训练次数：4860, Loss: 0.10161519050598145
训练次数：4870, Loss: 0.05832507461309433
训练次数：4880, Loss: 0.06470093131065369
训练次数：4890, Loss: 0.045251358300447464
训练次数：4900, Loss: 0.09239991009235382
训练次数：4910, Loss: 0.18484431505203247
训练次数：4920, Loss: 0.04475926607847214
训练次数：4930, Loss: 0.0420619435608387
训练次数：4940, Loss: 0.06496855616569519
训练次数：4950, Loss: 0.050322115421295166
训练次数：4960, Loss: 0.047982748597860336
训练次数：4970, Loss: 0.06862884014844894
训练次数：4980, Loss: 0.08654572069644928
训练次数：4990, Loss: 0.06351612508296967
训练次数：5000, Loss: 0.045630745589733124
训练次数：5010, Loss: 0.11065349727869034
训练次数：5020, Loss: 0.03725065663456917
训练次数：5030, Loss: 0.04539596661925316
训练次数：5040, Loss: 0.16863609850406647
训练次数：5050, Loss: 0.02190321870148182
训练次数：5060, Loss: 0.03892741724848747
训练次数：5070, Loss: 0.060566287487745285
训练次数：5080, Loss: 0.04817267879843712
训练次数：5090, Loss: 0.055925630033016205
训练次数：5100, Loss: 0.06328126043081284
训练次数：5110, Loss: 0.0607900433242321
训练次数：5120, Loss: 0.06500714272260666
训练次数：5130, Loss: 0.05665851756930351
训练次数：5140, Loss: 0.04118330404162407
训练次数：5150, Loss: 0.06999155879020691
训练次数：5160, Loss: 0.03755778446793556
训练次数：5170, Loss: 0.06835724413394928
训练次数：5180, Loss: 0.05113106593489647
训练次数：5190, Loss: 0.03274991735816002
训练次数：5200, Loss: 0.18816784024238586
训练次数：5210, Loss: 0.034379638731479645
训练次数：5220, Loss: 0.04451674595475197
训练次数：5230, Loss: 0.043171048164367676
训练次数：5240, Loss: 0.05412031710147858
训练次数：5250, Loss: 0.076638363301754
训练次数：5260, Loss: 0.07132945954799652
训练次数：5270, Loss: 0.03171473741531372
训练次数：5280, Loss: 0.043133266270160675
训练次数：5290, Loss: 0.05981113389134407
训练次数：5300, Loss: 0.04752533510327339
训练次数：5310, Loss: 0.10593871027231216
训练次数：5320, Loss: 0.06843244284391403
训练次数：5330, Loss: 0.03580160439014435
训练次数：5340, Loss: 0.07592961192131042
训练次数：5350, Loss: 0.02850329503417015
训练次数：5360, Loss: 0.0832991898059845
训练次数：5370, Loss: 0.049801476299762726
训练次数：5380, Loss: 0.11582046002149582
训练次数：5390, Loss: 0.04943437501788139
训练次数：5400, Loss: 0.03420728072524071
训练次数：5410, Loss: 0.110845185816288
训练次数：5420, Loss: 0.052527569234371185
训练次数：5430, Loss: 0.03750191628932953
训练次数：5440, Loss: 0.037803467363119125
训练次数：5450, Loss: 0.04217616096138954
训练次数：5460, Loss: 0.06200214847922325
训练次数：5470, Loss: 0.04439978301525116
训练次数：5480, Loss: 0.050216954201459885
训练次数：5490, Loss: 0.03706395626068115
训练次数：5500, Loss: 0.03719464689493179
训练次数：5510, Loss: 0.12102125585079193
训练次数：5520, Loss: 0.07578154653310776
训练次数：5530, Loss: 0.005460136570036411
训练次数：5540, Loss: 0.17126506567001343
训练次数：5550, Loss: 0.05333402752876282
训练次数：5560, Loss: 0.15248478949069977
训练次数：5570, Loss: 0.03142185136675835
训练次数：5580, Loss: 0.10030912607908249
训练次数：5590, Loss: 0.08278781175613403
训练次数：5600, Loss: 0.05180538073182106
训练次数：5610, Loss: 0.03265593200922012
训练次数：5620, Loss: 0.05647045001387596
训练次数：5630, Loss: 0.03997208923101425
训练次数：5640, Loss: 0.05828077346086502
训练次数：5650, Loss: 0.056622762233018875
训练次数：5660, Loss: 0.06547359377145767
训练次数：5670, Loss: 0.08183418959379196
训练次数：5680, Loss: 0.040455445647239685
训练次数：5690, Loss: 0.03302425518631935
训练次数：5700, Loss: 0.11106608062982559
训练次数：5710, Loss: 0.04253904148936272
训练次数：5720, Loss: 0.07334491610527039
训练次数：5730, Loss: 0.11454898118972778
训练次数：5740, Loss: 0.0412045456469059
训练次数：5750, Loss: 0.10714996606111526
训练次数：5760, Loss: 0.05639348551630974
训练次数：5770, Loss: 0.07849095016717911
训练次数：5780, Loss: 0.25510773062705994
训练次数：5790, Loss: 0.09072361886501312
训练次数：5800, Loss: 0.11994048953056335
训练次数：5810, Loss: 0.028054114431142807
训练次数：5820, Loss: 0.05107931047677994
训练次数：5830, Loss: 0.06670063734054565
训练次数：5840, Loss: 0.059217918664216995
训练次数：5850, Loss: 0.04619327187538147
训练次数：5860, Loss: 0.06970872730016708
训练次数：5870, Loss: 0.09307383000850677
训练次数：5880, Loss: 0.03474203497171402
训练次数：5890, Loss: 0.0603640154004097
训练次数：5900, Loss: 0.050162993371486664
训练次数：5910, Loss: 0.04372969642281532
训练次数：5920, Loss: 0.05732164531946182
训练次数：5930, Loss: 0.030928054824471474
训练次数：5940, Loss: 0.0333494134247303
训练次数：5950, Loss: 0.08798433840274811
训练次数：5960, Loss: 0.027745790779590607
训练次数：5970, Loss: 0.056961484253406525
训练次数：5980, Loss: 0.07233281433582306
训练次数：5990, Loss: 0.03104346990585327
训练次数：6000, Loss: 0.12376034259796143
训练次数：6010, Loss: 0.09057781845331192
训练次数：6020, Loss: 0.0729479044675827
训练次数：6030, Loss: 0.12153221666812897
训练次数：6040, Loss: 0.11913329362869263
训练次数：6050, Loss: 0.049373798072338104
训练次数：6060, Loss: 0.038267772644758224
训练次数：6070, Loss: 0.09543754160404205
训练次数：6080, Loss: 0.07124225795269012
训练次数：6090, Loss: 0.08751639723777771
训练次数：6100, Loss: 0.026821888983249664
训练次数：6110, Loss: 0.09445574879646301
训练次数：6120, Loss: 0.026196150109171867
训练次数：6130, Loss: 0.06784892082214355
训练次数：6140, Loss: 0.07451076805591583
训练次数：6150, Loss: 0.05017141252756119
训练次数：6160, Loss: 0.028694067150354385
训练次数：6170, Loss: 0.05515529215335846
训练次数：6180, Loss: 0.12243396788835526
训练次数：6190, Loss: 0.07460720837116241
训练次数：6200, Loss: 0.0872175395488739
训练次数：6210, Loss: 0.0247187502682209
训练次数：6220, Loss: 0.09200666099786758
训练次数：6230, Loss: 0.035013504326343536
训练次数：6240, Loss: 0.03794905170798302
训练次数：6250, Loss: 0.05950650945305824
训练次数：6260, Loss: 0.08663129806518555
训练次数：6270, Loss: 0.05271218717098236
训练次数：6280, Loss: 0.06105173006653786
训练次数：6290, Loss: 0.08522586524486542
训练次数：6300, Loss: 0.04812706634402275
训练次数：6310, Loss: 0.04361980780959129
训练次数：6320, Loss: 0.1500682681798935
训练次数：6330, Loss: 0.2766183316707611
训练次数：6340, Loss: 0.04596579074859619
训练次数：6350, Loss: 0.03406084328889847
训练次数：6360, Loss: 0.05657314136624336
训练次数：6370, Loss: 0.05025165155529976
训练次数：6380, Loss: 0.1385219246149063
训练次数：6390, Loss: 0.047457169741392136
训练次数：6400, Loss: 0.06227686628699303
