训练次数：10, Loss: 1.7738467454910278
训练次数：570, Loss: 0.08319763094186783
训练次数：580, Loss: 0.056769855320453644
训练次数：590, Loss: 0.05175694450736046
训练次数：600, Loss: 0.07077112793922424
训练次数：610, Loss: 0.10506037622690201
训练次数：620, Loss: 0.10692867636680603
训练次数：630, Loss: 0.22572529315948486
训练次数：640, Loss: 0.07138532400131226
训练次数：650, Loss: 0.04308916628360748
训练次数：660, Loss: 0.07408856600522995
训练次数：670, Loss: 0.06484180688858032
训练次数：680, Loss: 0.08414216339588165
训练次数：690, Loss: 0.04985634237527847
训练次数：700, Loss: 0.07107289135456085
训练次数：710, Loss: 0.18339291214942932
训练次数：720, Loss: 0.07243309915065765
训练次数：730, Loss: 0.14330744743347168
训练次数：740, Loss: 0.17939548194408417
训练次数：750, Loss: 0.054601818323135376
训练次数：760, Loss: 0.07076040655374527
训练次数：770, Loss: 0.05207729712128639
训练次数：780, Loss: 0.08599278330802917
训练次数：790, Loss: 0.07132589817047119
训练次数：800, Loss: 0.05054990574717522
训练次数：810, Loss: 0.05357133597135544
训练次数：820, Loss: 0.0467909537255764
训练次数：830, Loss: 0.08008008450269699
训练次数：840, Loss: 0.059587862342596054
训练次数：850, Loss: 0.09410423040390015
训练次数：860, Loss: 0.1705298274755478
训练次数：870, Loss: 0.09564916789531708
训练次数：880, Loss: 0.08783791214227676
训练次数：890, Loss: 0.22786244750022888
训练次数：900, Loss: 0.052451685070991516
训练次数：910, Loss: 0.04249350726604462
训练次数：920, Loss: 0.07398222386837006
训练次数：930, Loss: 0.04474305361509323
训练次数：940, Loss: 0.047278232872486115
训练次数：950, Loss: 0.054604023694992065
训练次数：960, Loss: 0.0517052598297596
训练次数：970, Loss: 0.06723341345787048
训练次数：980, Loss: 0.06317124515771866
训练次数：990, Loss: 0.05439022183418274
训练次数：1000, Loss: 0.0385117381811142
训练次数：1010, Loss: 0.08186835050582886
训练次数：1020, Loss: 0.05776318535208702
训练次数：1030, Loss: 0.06273836642503738
训练次数：1040, Loss: 0.13166816532611847
训练次数：1050, Loss: 0.10695938020944595
训练次数：1060, Loss: 0.10293321311473846
训练次数：1070, Loss: 0.0965123176574707
训练次数：1080, Loss: 0.19386518001556396
训练次数：1090, Loss: 0.07532403618097305
训练次数：1100, Loss: 0.058367304503917694
训练次数：1110, Loss: 0.08016469329595566
训练次数：1120, Loss: 0.049558207392692566
训练次数：1130, Loss: 0.06626846641302109
训练次数：1140, Loss: 0.051171548664569855
训练次数：1150, Loss: 0.056625496596097946
训练次数：1160, Loss: 0.03176916763186455
训练次数：1170, Loss: 0.17043039202690125
训练次数：1180, Loss: 0.1433497667312622
训练次数：1190, Loss: 0.037008095532655716
训练次数：1200, Loss: 0.06593376398086548
训练次数：1210, Loss: 0.4246926009654999
训练次数：1220, Loss: 0.056001704186201096
训练次数：1230, Loss: 0.03850169479846954
训练次数：1240, Loss: 0.06104901432991028
训练次数：1250, Loss: 0.0638202577829361
训练次数：1260, Loss: 0.09103403240442276
训练次数：1270, Loss: 0.04942221939563751
训练次数：1280, Loss: 0.04431350529193878
训练次数：1290, Loss: 0.04455167427659035
训练次数：1300, Loss: 0.03635842353105545
训练次数：1310, Loss: 0.0623927004635334
训练次数：1320, Loss: 0.13068461418151855
训练次数：1330, Loss: 0.057336099445819855
训练次数：1340, Loss: 0.04792654514312744
训练次数：1350, Loss: 0.12671901285648346
训练次数：1360, Loss: 0.05486603081226349
训练次数：1370, Loss: 0.07158800214529037
训练次数：1380, Loss: 0.06595391780138016
训练次数：1390, Loss: 0.02737119048833847
训练次数：1400, Loss: 0.0935337096452713
训练次数：1410, Loss: 0.0803019180893898
训练次数：1420, Loss: 0.03885010629892349
训练次数：1430, Loss: 0.06519591808319092
训练次数：1440, Loss: 0.08200989663600922
训练次数：1450, Loss: 0.06791486591100693
训练次数：1460, Loss: 0.050623439252376556
训练次数：1470, Loss: 0.03025802969932556
训练次数：1480, Loss: 0.07546416670084
训练次数：1490, Loss: 0.1844288557767868
训练次数：1500, Loss: 0.09062231332063675
训练次数：1510, Loss: 0.05211580917239189
训练次数：1520, Loss: 0.052244752645492554
训练次数：1530, Loss: 0.06381674110889435
训练次数：1540, Loss: 0.04041533172130585
训练次数：1550, Loss: 0.06516651064157486
训练次数：1560, Loss: 0.05690823495388031
训练次数：1570, Loss: 0.042841169983148575
训练次数：1580, Loss: 0.11814352869987488
训练次数：1590, Loss: 0.05377410724759102
训练次数：1600, Loss: 0.020507937297225
训练次数：1610, Loss: 0.051793452352285385
训练次数：1620, Loss: 0.06401415914297104
训练次数：1630, Loss: 0.05884798243641853
训练次数：1640, Loss: 0.05542883276939392
训练次数：1650, Loss: 0.06520362943410873
训练次数：1660, Loss: 0.06780890375375748
训练次数：1670, Loss: 0.1016484871506691
训练次数：1680, Loss: 0.14837953448295593
训练次数：1690, Loss: 0.03895843029022217
训练次数：1700, Loss: 0.05229783430695534
训练次数：1710, Loss: 0.07409033179283142
训练次数：1720, Loss: 0.09934745728969574
训练次数：1730, Loss: 0.10434089601039886
训练次数：1740, Loss: 0.0479896143078804
训练次数：1750, Loss: 0.0743464007973671
训练次数：1760, Loss: 0.6037413477897644
训练次数：1770, Loss: 0.10912544280290604
训练次数：1780, Loss: 0.0787150040268898
训练次数：1790, Loss: 0.10001679509878159
训练次数：1800, Loss: 0.0512811504304409
训练次数：1810, Loss: 0.11104149371385574
训练次数：1820, Loss: 0.07623692601919174
训练次数：1830, Loss: 0.2161935269832611
训练次数：1840, Loss: 0.07947348058223724
训练次数：1850, Loss: 0.1363707035779953
训练次数：1860, Loss: 0.044820636510849
训练次数：1870, Loss: 0.0693025141954422
训练次数：1880, Loss: 0.48624759912490845
训练次数：1890, Loss: 0.1002616435289383
训练次数：1900, Loss: 0.06462420523166656
训练次数：1910, Loss: 0.03942781314253807
训练次数：1920, Loss: 0.0518425777554512
训练次数：1930, Loss: 0.03634031489491463
训练次数：1940, Loss: 0.09987526386976242
训练次数：1950, Loss: 0.04201189801096916
训练次数：1960, Loss: 0.0815848559141159
训练次数：1970, Loss: 0.05198138952255249
训练次数：1980, Loss: 0.04493948072195053
训练次数：1990, Loss: 0.06911773979663849
训练次数：2000, Loss: 0.04758579656481743
训练次数：2010, Loss: 0.08623086661100388
训练次数：2020, Loss: 0.10223676264286041
训练次数：2030, Loss: 0.11337246745824814
训练次数：2040, Loss: 0.03871629387140274
训练次数：2050, Loss: 0.0547473169863224
训练次数：2060, Loss: 0.06794432550668716
训练次数：2070, Loss: 0.06110899895429611
训练次数：2080, Loss: 0.06337933242321014
训练次数：2090, Loss: 0.05564059689640999
训练次数：2100, Loss: 0.04662028327584267
训练次数：2110, Loss: 0.07919255644083023
训练次数：2120, Loss: 0.08521294593811035
训练次数：2130, Loss: 0.0993814766407013
训练次数：2140, Loss: 0.11958145350217819
训练次数：2150, Loss: 6.854040145874023
训练次数：2160, Loss: 0.12585261464118958
训练次数：2170, Loss: 0.09209145605564117
训练次数：2180, Loss: 0.05574458837509155
训练次数：2190, Loss: 0.10872647166252136
训练次数：2200, Loss: 0.05939367413520813
训练次数：2210, Loss: 0.06361288577318192
训练次数：2220, Loss: 0.055682748556137085
训练次数：2230, Loss: 0.0652943104505539
训练次数：2240, Loss: 0.05132617801427841
训练次数：2250, Loss: 0.08588240295648575
训练次数：2260, Loss: 0.12385936826467514
训练次数：2270, Loss: 0.04343833029270172
训练次数：2280, Loss: 0.07483764737844467
训练次数：2290, Loss: 0.05788932740688324
训练次数：2300, Loss: 0.0972832441329956
训练次数：2310, Loss: 0.03148221597075462
训练次数：2320, Loss: 0.04415172338485718
训练次数：2330, Loss: 0.09761174768209457
训练次数：2340, Loss: 0.07620295137166977
训练次数：2350, Loss: 0.33271369338035583
训练次数：2360, Loss: 0.07454629987478256
训练次数：2370, Loss: 0.08536335080862045
训练次数：2380, Loss: 0.049696724861860275
训练次数：2390, Loss: 0.045902591198682785
训练次数：2400, Loss: 0.05712355673313141
训练次数：2410, Loss: 0.052783507853746414
训练次数：2420, Loss: 0.0510680228471756
训练次数：2430, Loss: 0.058089740574359894
训练次数：2440, Loss: 0.06837724894285202
训练次数：2450, Loss: 0.5253698825836182
训练次数：2460, Loss: 0.044802166521549225
训练次数：2470, Loss: 0.04797622933983803
训练次数：2480, Loss: 0.06011419743299484
训练次数：2490, Loss: 0.07733333855867386
训练次数：2500, Loss: 0.15576738119125366
训练次数：2510, Loss: 0.04742232337594032
训练次数：2520, Loss: 0.04797760769724846
训练次数：2530, Loss: 0.0596364326775074
训练次数：2540, Loss: 0.057778384536504745
训练次数：2550, Loss: 0.06784314662218094
训练次数：2560, Loss: 0.03415941074490547
训练次数：2570, Loss: 0.07295380532741547
训练次数：2580, Loss: 0.08191165328025818
训练次数：2590, Loss: 0.07767955213785172
训练次数：2600, Loss: 0.11539708077907562
训练次数：2610, Loss: 0.03277941048145294
训练次数：2620, Loss: 0.09791676700115204
训练次数：2630, Loss: 0.0852474793791771
训练次数：2640, Loss: 0.11703640222549438
训练次数：2650, Loss: 0.05374431610107422
训练次数：2660, Loss: 0.07678239792585373
训练次数：2670, Loss: 0.06305227428674698
训练次数：2680, Loss: 0.8867922425270081
训练次数：2690, Loss: 0.03995872288942337
训练次数：2700, Loss: 0.03157418966293335
训练次数：2710, Loss: 0.05791206657886505
训练次数：2720, Loss: 0.06427230685949326
训练次数：2730, Loss: 0.11330371350049973
训练次数：2740, Loss: 0.08968845754861832
训练次数：2750, Loss: 0.03727481886744499
训练次数：2760, Loss: 0.054081931710243225
训练次数：2770, Loss: 0.08856863528490067
训练次数：2780, Loss: 0.07806585729122162
训练次数：2790, Loss: 0.050892993807792664
训练次数：2800, Loss: 0.11096888035535812
训练次数：2810, Loss: 0.09133481234312057
训练次数：2820, Loss: 0.04786774143576622
训练次数：2830, Loss: 0.05605421960353851
训练次数：2840, Loss: 0.055204931646585464
训练次数：2850, Loss: 0.07753118872642517
训练次数：2860, Loss: 0.06280215084552765
训练次数：2870, Loss: 0.07231038808822632
训练次数：2880, Loss: 0.037049777805805206
训练次数：2890, Loss: 0.05002807453274727
训练次数：2900, Loss: 0.057183608412742615
训练次数：2910, Loss: 1.5733492374420166
训练次数：2920, Loss: 0.04858942702412605
训练次数：2930, Loss: 0.06946765631437302
训练次数：2940, Loss: 0.17404207587242126
训练次数：2950, Loss: 0.06069955974817276
训练次数：2960, Loss: 0.04960691183805466
训练次数：2970, Loss: 0.14059066772460938
训练次数：2980, Loss: 0.045141853392124176
训练次数：2990, Loss: 0.05572189763188362
训练次数：3000, Loss: 0.08825099468231201
训练次数：3010, Loss: 0.029557950794696808
训练次数：3020, Loss: 0.13794954121112823
训练次数：3030, Loss: 0.036787599325180054
训练次数：3040, Loss: 0.07198522984981537
训练次数：3050, Loss: 0.06037072837352753
训练次数：3060, Loss: 0.09283875674009323
训练次数：3070, Loss: 0.05051286518573761
训练次数：3080, Loss: 0.050566285848617554
训练次数：3090, Loss: 0.06050786375999451
训练次数：3100, Loss: 0.04664210230112076
训练次数：3110, Loss: 0.10192587226629257
训练次数：3120, Loss: 0.0753868818283081
训练次数：3130, Loss: 0.08977540582418442
训练次数：3140, Loss: 0.06301107257604599
训练次数：3150, Loss: 0.028862956911325455
训练次数：3160, Loss: 0.03090035915374756
训练次数：3170, Loss: 0.04947888106107712
训练次数：3180, Loss: 0.17267963290214539
训练次数：3190, Loss: 0.05111565813422203
训练次数：3200, Loss: 0.05484182760119438
训练次数：3210, Loss: 0.17869409918785095
训练次数：3220, Loss: 0.08791244775056839
训练次数：3230, Loss: 0.040907345712184906
训练次数：3240, Loss: 0.07492370903491974
训练次数：3250, Loss: 0.04791754111647606
训练次数：3260, Loss: 0.06343076378107071
训练次数：3270, Loss: 0.07550317794084549
训练次数：3280, Loss: 0.12434280663728714
训练次数：3290, Loss: 0.05784223601222038
训练次数：3300, Loss: 0.05736585333943367
训练次数：3310, Loss: 0.0856235921382904
训练次数：3320, Loss: 0.10702338814735413
训练次数：3330, Loss: 0.06111470237374306
训练次数：3340, Loss: 0.03727796673774719
训练次数：3350, Loss: 0.16508255898952484
训练次数：3360, Loss: 0.05889872461557388
训练次数：3370, Loss: 0.07236295938491821
训练次数：3380, Loss: 0.048139601945877075
训练次数：3390, Loss: 0.11133535951375961
训练次数：3400, Loss: 0.07871447503566742
训练次数：3410, Loss: 0.03306208550930023
训练次数：3420, Loss: 0.09773505479097366
训练次数：3430, Loss: 0.04263775423169136
训练次数：3440, Loss: 0.0435674823820591
训练次数：3450, Loss: 0.20699664950370789
训练次数：3460, Loss: 0.03497578948736191
训练次数：3470, Loss: 0.058130815625190735
训练次数：3480, Loss: 0.10377539694309235
训练次数：3490, Loss: 0.4743686020374298
训练次数：3500, Loss: 0.04240928590297699
训练次数：3510, Loss: 0.17598378658294678
训练次数：3520, Loss: 0.08341420441865921
训练次数：3530, Loss: 0.22315150499343872
训练次数：3540, Loss: 0.046724915504455566
训练次数：3550, Loss: 0.1123410165309906
训练次数：3560, Loss: 0.03832634165883064
训练次数：3570, Loss: 0.060980360954999924
训练次数：3580, Loss: 0.06851734220981598
训练次数：3590, Loss: 0.09295109659433365
训练次数：3600, Loss: 0.20384566485881805
训练次数：3610, Loss: 0.042084112763404846
训练次数：3620, Loss: 0.07139085233211517
训练次数：3630, Loss: 0.07980464398860931
训练次数：3640, Loss: 0.055587735027074814
训练次数：3650, Loss: 0.044555917382240295
训练次数：3660, Loss: 0.06416886299848557
训练次数：3670, Loss: 0.05596158653497696
训练次数：3680, Loss: 0.042368318885564804
训练次数：3690, Loss: 0.04063672572374344
训练次数：3700, Loss: 0.20237481594085693
训练次数：3710, Loss: 0.0635061115026474
训练次数：3720, Loss: 0.0933455228805542
训练次数：3730, Loss: 0.04355233162641525
训练次数：3740, Loss: 0.06020882725715637
训练次数：3750, Loss: 0.3980683982372284
训练次数：3760, Loss: 0.09337159246206284
训练次数：3770, Loss: 0.043142177164554596
训练次数：3780, Loss: 0.2843793034553528
训练次数：3790, Loss: 0.07711678743362427
训练次数：3800, Loss: 0.055465616285800934
训练次数：3810, Loss: 0.04207134619355202
训练次数：3820, Loss: 1.6533955335617065
训练次数：3830, Loss: 0.1439899206161499
训练次数：3840, Loss: 0.09876687824726105
训练次数：3850, Loss: 0.15395793318748474
训练次数：3860, Loss: 0.07964899390935898
训练次数：3870, Loss: 0.0693148747086525
训练次数：3880, Loss: 0.1551337093114853
训练次数：3890, Loss: 0.06492205709218979
训练次数：3900, Loss: 0.04198118671774864
训练次数：3910, Loss: 0.041722942143678665
训练次数：3920, Loss: 0.11468341946601868
训练次数：3930, Loss: 0.17781206965446472
训练次数：3940, Loss: 0.06334985047578812
训练次数：3950, Loss: 0.054971031844615936
训练次数：3960, Loss: 0.22036023437976837
训练次数：3970, Loss: 0.0442654974758625
训练次数：3980, Loss: 0.0477847196161747
训练次数：3990, Loss: 0.2044696807861328
训练次数：4000, Loss: 0.04244045913219452
训练次数：4010, Loss: 0.0575314536690712
训练次数：4020, Loss: 0.0519714429974556
训练次数：4030, Loss: 0.04536931961774826
训练次数：4040, Loss: 0.050722863525152206
训练次数：4050, Loss: 0.057638123631477356
训练次数：4060, Loss: 0.11291610449552536
训练次数：4070, Loss: 0.03768740966916084
训练次数：4080, Loss: 0.15439681708812714
训练次数：4090, Loss: 0.09667611122131348
训练次数：4100, Loss: 0.06700020283460617
训练次数：4110, Loss: 0.06603758037090302
训练次数：4120, Loss: 0.06162821501493454
训练次数：4130, Loss: 0.1012892797589302
训练次数：4140, Loss: 0.05729230120778084
训练次数：4150, Loss: 0.14021912217140198
训练次数：4160, Loss: 0.08301682025194168
训练次数：4170, Loss: 0.1252598762512207
训练次数：4180, Loss: 0.17494481801986694
训练次数：4190, Loss: 0.223226860165596
训练次数：4200, Loss: 0.07304897904396057
训练次数：4210, Loss: 0.06927003711462021
训练次数：4220, Loss: 0.08555521070957184
训练次数：4230, Loss: 0.050579603761434555
训练次数：4240, Loss: 0.0729776918888092
训练次数：4250, Loss: 0.14334996044635773
训练次数：4260, Loss: 3142.105224609375
训练次数：4270, Loss: 0.04214344918727875
训练次数：4280, Loss: 0.06912844628095627
训练次数：4290, Loss: 0.07848922163248062
训练次数：4300, Loss: 0.0520881824195385
训练次数：4310, Loss: 0.04421655461192131
训练次数：4320, Loss: 0.04319557920098305
训练次数：4330, Loss: 0.04310860484838486
训练次数：4340, Loss: 0.05348772555589676
训练次数：4350, Loss: 0.06571520864963531
训练次数：4360, Loss: 0.04594286531209946
训练次数：4370, Loss: 0.08198727667331696
训练次数：4380, Loss: 0.023838277906179428
训练次数：4390, Loss: 0.05970758944749832
训练次数：4400, Loss: 0.36965540051460266
训练次数：4410, Loss: 0.24210229516029358
训练次数：4420, Loss: 0.05032113566994667
训练次数：4430, Loss: 0.03836797922849655
训练次数：4440, Loss: 0.07656271755695343
训练次数：4450, Loss: 0.2714773416519165
训练次数：4460, Loss: 0.06799159198999405
训练次数：4470, Loss: 0.04964398220181465
训练次数：4480, Loss: 0.09426043182611465
训练次数：4490, Loss: 0.09248708188533783
训练次数：4500, Loss: 1.1291279792785645
训练次数：4510, Loss: 0.10625346750020981
训练次数：4520, Loss: 0.145075261592865
训练次数：4530, Loss: 0.0800667405128479
训练次数：4540, Loss: 0.12979018688201904
训练次数：4550, Loss: 0.06042461469769478
训练次数：4560, Loss: 0.06496583670377731
训练次数：4570, Loss: 0.24847117066383362
训练次数：4580, Loss: 0.044505055993795395
训练次数：4590, Loss: 0.05740750581026077
训练次数：4600, Loss: 0.0561022013425827
训练次数：4610, Loss: 0.05175270885229111
训练次数：4620, Loss: 0.06535181403160095
训练次数：4630, Loss: 0.04180113598704338
训练次数：4640, Loss: 0.03183363750576973
训练次数：4650, Loss: 0.04959038272500038
训练次数：4660, Loss: 0.06710164248943329
训练次数：4670, Loss: 0.063809335231781
训练次数：4680, Loss: 0.13520020246505737
训练次数：4690, Loss: 0.0589129775762558
训练次数：4700, Loss: 0.030561290681362152
训练次数：4710, Loss: 0.08206212520599365
训练次数：4720, Loss: 0.04602386802434921
训练次数：4730, Loss: 0.042405080050230026
训练次数：4740, Loss: 0.21443606913089752
训练次数：4750, Loss: 0.07924677431583405
训练次数：4760, Loss: 0.041184768080711365
训练次数：4770, Loss: 0.11189993470907211
训练次数：4780, Loss: 0.09218975901603699
训练次数：4790, Loss: 0.058712609112262726
训练次数：4800, Loss: 0.06177621707320213
训练次数：4810, Loss: 0.04395272210240364
训练次数：4820, Loss: 0.07035797834396362
训练次数：4830, Loss: 0.0479876771569252
训练次数：4840, Loss: 0.04777277633547783
训练次数：4850, Loss: 0.041765324771404266
训练次数：4860, Loss: 0.07571615278720856
训练次数：4870, Loss: 0.037312984466552734
训练次数：4880, Loss: 0.045623306185007095
训练次数：4890, Loss: 0.08079741150140762
训练次数：4900, Loss: 0.07608431577682495
训练次数：4910, Loss: 0.07128149271011353
训练次数：4920, Loss: 0.09481818228960037
训练次数：4930, Loss: 0.5529091358184814
训练次数：4940, Loss: 0.07842282950878143
训练次数：4950, Loss: 0.08596289157867432
训练次数：4960, Loss: 0.07492122054100037
训练次数：4970, Loss: 0.08737802505493164
训练次数：4980, Loss: 0.055198509246110916
训练次数：4990, Loss: 0.029830262064933777
训练次数：5000, Loss: 0.13241462409496307
训练次数：5010, Loss: 0.2189902812242508
训练次数：5020, Loss: 2.4739484786987305
训练次数：5030, Loss: 0.43078967928886414
训练次数：5040, Loss: 0.051451943814754486
训练次数：5050, Loss: 0.07766471058130264
训练次数：5060, Loss: 0.08774476498365402
训练次数：5070, Loss: 0.060934051871299744
训练次数：5080, Loss: 0.07458166778087616
训练次数：5090, Loss: 0.08885855227708817
训练次数：5100, Loss: 0.08639976382255554
训练次数：5110, Loss: 0.15314072370529175
训练次数：5120, Loss: 0.13824403285980225
训练次数：5130, Loss: 0.03749684989452362
训练次数：5140, Loss: 0.05850410833954811
训练次数：5150, Loss: 0.08829779922962189
训练次数：5160, Loss: 0.08516134321689606
训练次数：5170, Loss: 0.05610237270593643
训练次数：5180, Loss: 0.04525567963719368
训练次数：5190, Loss: 0.05558197200298309
训练次数：5200, Loss: 0.07338089495897293
训练次数：5210, Loss: 0.19425290822982788
训练次数：5220, Loss: 0.05501818656921387
训练次数：5230, Loss: 0.03713330626487732
训练次数：5240, Loss: 0.06951785087585449
训练次数：5250, Loss: 0.07986781746149063
训练次数：5260, Loss: 0.06953907012939453
训练次数：5270, Loss: 0.13764402270317078
训练次数：5280, Loss: 0.10241665691137314
训练次数：5290, Loss: 0.03678024560213089
训练次数：5300, Loss: 0.05025164410471916
训练次数：5310, Loss: 0.13729773461818695
训练次数：5320, Loss: 0.04693617671728134
训练次数：5330, Loss: 0.1701510101556778
训练次数：5340, Loss: 0.06493350118398666
训练次数：5350, Loss: 0.07257480919361115
训练次数：5360, Loss: 0.11768074333667755
训练次数：5370, Loss: 0.04547184705734253
训练次数：5380, Loss: 0.06184615567326546
训练次数：5390, Loss: 0.0680324137210846
训练次数：5400, Loss: 0.056592851877212524
训练次数：5410, Loss: 0.06067139655351639
训练次数：5420, Loss: 0.0379251204431057
训练次数：5430, Loss: 0.22582440078258514
训练次数：5440, Loss: 0.08038906753063202
训练次数：5450, Loss: 0.13078376650810242
训练次数：5460, Loss: 0.060440726578235626
训练次数：5470, Loss: 0.471676230430603
训练次数：5480, Loss: 0.21519628167152405
训练次数：5490, Loss: 0.09537547081708908
训练次数：5500, Loss: 0.08452025800943375
训练次数：5510, Loss: 0.09209147095680237
训练次数：5520, Loss: 0.04301564395427704
训练次数：5530, Loss: 0.14776331186294556
训练次数：5540, Loss: 0.09186052531003952
训练次数：5550, Loss: 0.10838013142347336
训练次数：5560, Loss: 0.8676645755767822
训练次数：5570, Loss: 0.04927048087120056
训练次数：5580, Loss: 0.050194162875413895
训练次数：5590, Loss: 0.06350447982549667
训练次数：5600, Loss: 0.14406327903270721
训练次数：5610, Loss: 0.03589931130409241
训练次数：5620, Loss: 0.16573818027973175
训练次数：5630, Loss: 0.05317293852567673
训练次数：5640, Loss: 0.018160058185458183
训练次数：5650, Loss: 0.07432141155004501
训练次数：5660, Loss: 0.2828756868839264
训练次数：5670, Loss: 0.05657987296581268
训练次数：5680, Loss: 0.11445802450180054
训练次数：5690, Loss: 0.05695556476712227
训练次数：5700, Loss: 0.04359456151723862
训练次数：5710, Loss: 0.08062458038330078
训练次数：5720, Loss: 0.035461992025375366
训练次数：5730, Loss: 0.03536122664809227
训练次数：5740, Loss: 0.0955192893743515
训练次数：5750, Loss: 0.04591817036271095
训练次数：5760, Loss: 0.05530679598450661
训练次数：5770, Loss: 0.06534603238105774
训练次数：5780, Loss: 0.06271317601203918
训练次数：5790, Loss: 0.04516655579209328
训练次数：5800, Loss: 0.049625054001808167
训练次数：5810, Loss: 0.05056188255548477
训练次数：5820, Loss: 0.035197094082832336
训练次数：5830, Loss: 0.5262559652328491
训练次数：5840, Loss: 0.03960569202899933
训练次数：5850, Loss: 0.0854063630104065
训练次数：5860, Loss: 0.0433577224612236
训练次数：5870, Loss: 0.046590909361839294
训练次数：5880, Loss: 0.16196876764297485
训练次数：5890, Loss: 0.05973086878657341
训练次数：5900, Loss: 0.04708436504006386
训练次数：5910, Loss: 0.10354006290435791
训练次数：5920, Loss: 0.10860980302095413
训练次数：5930, Loss: 0.0863511860370636
训练次数：5940, Loss: 0.0483408086001873
训练次数：5950, Loss: 0.10178590565919876
训练次数：5960, Loss: 0.06709577888250351
训练次数：5970, Loss: 0.13128723204135895
训练次数：5980, Loss: 0.06457488238811493
训练次数：5990, Loss: 0.14748018980026245
训练次数：6000, Loss: 0.15548670291900635
训练次数：6010, Loss: 0.06274500489234924
训练次数：6020, Loss: 0.06410498917102814
训练次数：6030, Loss: 0.05579928308725357
训练次数：6040, Loss: 0.07866731286048889
训练次数：6050, Loss: 0.09833957254886627
训练次数：6060, Loss: 0.0808415487408638
训练次数：6070, Loss: 0.06433511525392532
训练次数：6080, Loss: 0.0354219451546669
训练次数：6090, Loss: 0.0464378297328949
训练次数：6100, Loss: 0.06507143378257751
训练次数：6110, Loss: 0.01655537635087967
训练次数：6120, Loss: 0.0698956847190857
训练次数：6130, Loss: 0.37963247299194336
训练次数：6140, Loss: 0.41067397594451904
训练次数：6150, Loss: 0.3185398578643799
训练次数：6160, Loss: 0.11806614696979523
训练次数：6170, Loss: 0.07980098575353622
训练次数：6180, Loss: 0.04450612515211105
训练次数：6190, Loss: 0.03793046623468399
训练次数：6200, Loss: 0.06870248168706894
训练次数：6210, Loss: 0.32893213629722595
训练次数：6220, Loss: 0.04761779308319092
训练次数：6230, Loss: 0.10391083359718323
训练次数：6240, Loss: 0.060836780816316605
训练次数：6250, Loss: 0.09490416198968887
训练次数：6260, Loss: 0.09777557104825974
训练次数：6270, Loss: 0.035359058529138565
训练次数：6280, Loss: 0.0375056192278862
训练次数：6290, Loss: 0.13481999933719635
训练次数：6300, Loss: 0.05489988252520561
训练次数：6310, Loss: 0.10300130397081375
训练次数：6320, Loss: 0.045313842594623566
训练次数：6330, Loss: 0.06845713406801224
训练次数：6340, Loss: 0.048398055136203766
训练次数：6350, Loss: 0.039577923715114594
训练次数：6360, Loss: 0.06980356574058533
训练次数：6370, Loss: 0.13084766268730164
训练次数：6380, Loss: 0.0483102947473526
训练次数：6390, Loss: 0.07323916256427765
训练次数：6400, Loss: 0.09803692251443863
